"","Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Area_Of_Wilderness","Soil_Type","Cover_Type"
"3080",-0.039,1.611,0.296,-0.629,-0.409,-1.134,-1.299,-0.349,0.891,-0.727,1,30,1
"3081",-0.049,1.484,-0.651,-1.081,-0.834,-0.47,-0.71,0.44,0.935,-0.067,3,20,6
"3082",-1.042,1.565,-0.414,-0.215,-0.997,-1.226,-0.776,0.265,0.87,-0.717,4,10,2
"3083",-0.973,0.875,2.07,1.175,-0.622,-0.717,-2.903,0.835,2.242,-0.624,4,1,3
"3084",-1.619,-0.342,-0.651,-0.939,-0.85,-0.331,0.86,0.484,-0.329,-0.845,4,17,4
"3085",-1.612,1.038,-0.887,-1.081,-0.834,-0.319,-0.547,1.054,1.131,-0.838,4,17,4
"3086",-0.939,0.793,-0.769,-0.168,0.26,-0.646,-0.416,1.273,1.109,-0.89,4,6,4
"3087",-0.925,0.82,-0.532,-0.053,0.358,-0.664,-0.579,1.317,1.218,-0.917,4,6,4
"3088",-0.956,-1.06,1.952,0.589,0.146,-0.749,-0.318,-3.025,-1.636,-1.045,4,10,4
"3089",-0.978,-0.869,1.005,0.723,-0.001,-0.765,0.599,-1.665,-1.462,-1.069,4,10,4
"3090",-1.009,-0.578,1.124,0.775,3.101,-0.781,1.22,-1.27,-1.832,-1.093,4,10,4
"3091",-1.095,-0.469,1.833,0.513,2.66,-0.812,1.351,-1.621,-2.29,-1.139,4,3,4
"3092",-1.186,-0.551,1.952,0.266,2.138,-0.841,1.253,-1.972,-2.421,-1.181,4,3,4
"3093",-1.387,-0.424,2.306,-0.248,0.832,-0.888,1.319,-1.972,-2.617,-1.235,4,3,4
"3094",-1.437,-0.406,2.306,-0.367,0.489,-0.898,1.319,-1.84,-2.551,-1.237,4,3,4
"3095",-1.483,-0.415,2.188,-0.477,0.178,-0.906,1.351,-1.709,-2.464,-1.235,4,3,4
"3096",-1.531,-0.451,1.833,-0.567,0.129,-0.914,1.351,-1.577,-2.29,-1.227,4,3,4
"3097",-1.569,-0.524,1.478,-0.677,-0.165,-0.92,1.286,-1.49,-2.072,-1.215,4,3,4
"3098",-1.607,-0.606,1.242,-0.763,-0.426,-0.925,1.188,-1.402,-1.854,-1.199,4,3,4
"3099",-1.65,1.465,-0.651,-0.939,-0.736,-0.931,-0.743,0.484,0.957,-1.161,4,3,4
"3100",-1.624,1.229,1.124,-1.081,-0.834,-0.931,-2.379,0.265,1.872,-1.139,4,4,4
"3101",-1.432,1.765,0.177,-0.082,0.587,-0.92,-0.874,-0.525,0.499,-0.968,4,10,3
"3102",-1.406,-0.96,0.769,-0.677,-0.181,-0.922,0.37,-1.533,-1.157,-0.675,4,1,3
"3103",-1.715,-0.951,1.242,-0.763,-0.23,-0.999,0.304,-2.147,-1.505,-0.717,4,10,3
"3104",-1.708,1.166,1.478,-0.882,-0.622,-0.992,-2.837,0.221,2.09,-0.784,4,10,3
"3105",-1.327,1.093,2.78,0.004,0.881,-0.908,-4.179,-0.305,2.46,-0.871,4,10,3
"3106",-1.258,1.193,2.306,0.07,1.142,-0.893,-3.753,-0.393,2.264,-0.877,4,10,3
"3107",-0.98,0.503,-0.178,0.546,0.521,-0.678,-0.252,1.493,0.978,-0.798,4,6,3
"3108",-1.456,-1.123,1.597,0.147,1.321,-0.949,-0.416,-2.542,-1.2,-0.95,4,6,3
"3109",-1.514,-1.078,1.833,0.004,0.93,-0.99,-0.318,-2.849,-1.505,-1.003,4,6,3
"3110",1.261,0.584,-0.887,0.347,-0.034,1.659,-0.088,1.317,0.87,0.865,1,23,7
"3111",1.33,0.766,0.414,0.632,0.538,0.153,-1.136,1.449,1.589,1.695,1,29,1
"3112",-0.01,-0.851,-0.414,0.032,-0.132,0.003,0.599,-0.218,-0.481,-1.096,3,31,1
"3113",0.294,0.621,0.177,0.275,-0.23,-0.481,-0.677,1.536,1.284,0.223,3,13,5
"3114",0.31,0.285,-0.178,0.137,-0.442,-0.493,0.239,1.361,0.521,0.3,3,13,5
"3115",-1.512,0.394,0.769,-0.939,-0.72,-0.845,-0.252,1.493,0.804,-0.934,4,4,4
"3116",-1.504,0.203,1.005,-0.939,-0.785,-0.861,0.271,1.142,0.129,-0.947,4,4,4
"3117",-1.512,-0.024,0.532,-1.081,-0.834,-0.876,0.86,0.791,-0.394,-0.958,4,4,4
"3118",-1.198,-1.369,1.242,0.437,1.86,-0.977,-1.234,-1.928,-0.176,-0.853,4,10,3
"3119",-1.205,-1.278,1.952,0.532,1.828,-0.976,-1.266,-2.805,-0.765,-0.834,4,10,3
"3120",-1.227,-1.16,2.07,0.637,1.779,-0.974,-0.841,-3.2,-1.353,-0.814,4,10,3
"3121",-1.605,-0.333,-0.059,-0.939,-0.736,-0.322,1.089,0.265,-0.699,-0.822,4,1,4
"3122",-1.619,-0.769,-1.715,-1.081,-0.834,-0.311,0.304,0.659,0.303,-0.817,4,17,4
"3123",-1.31,1.129,1.715,-0.082,1.191,-0.211,-3.033,0.221,2.199,-0.737,4,10,3
"3124",-0.98,1.384,1.005,-0.168,-0.083,-0.463,-2.248,-0.218,1.567,-0.657,4,6,3
"3125",-0.946,0.566,-0.887,-0.072,0.146,-0.632,-0.088,1.317,0.87,-0.897,4,6,4
"3126",-0.937,0.702,-0.178,0.032,0.276,-0.65,-0.612,1.449,1.284,-0.924,4,6,4
"3127",-0.918,0.929,0.059,0.147,0.407,-0.667,-1.201,1.229,1.61,-0.95,4,6,4
"3128",-0.884,-0.86,1.242,0.513,0.636,-0.717,0.599,-2.016,-1.68,-1.029,4,10,4
"3129",-0.923,-0.642,1.833,0.642,0.374,-0.733,1.089,-2.235,-2.399,-1.055,4,3,4
"3130",-1.124,-0.288,2.188,0.456,2.464,-0.795,1.286,-1.226,-2.203,-1.154,4,3,4
"3131",-1.191,-0.397,1.715,0.194,2.007,-0.823,1.351,-1.183,-2.05,-1.199,4,3,4
"3132",-1.289,-0.542,2.543,-0.053,1.436,-0.847,1.188,-2.63,-2.922,-1.237,4,3,4
"3133",-1.353,-0.533,2.543,-0.177,0.995,-0.858,1.188,-2.674,-2.943,-1.252,4,3,4
"3134",-1.409,-0.497,2.425,-0.31,0.619,-0.868,1.286,-2.323,-2.943,-1.261,4,3,4
"3135",-1.459,-0.469,2.306,-0.444,0.342,-0.877,1.319,-2.016,-2.943,-1.265,4,3,4
"3136",-1.547,-0.433,1.597,-0.677,-0.263,-0.892,1.351,-1.226,-2.05,-1.252,4,3,4
"3137",-1.614,-0.469,0.887,-0.882,-0.671,-0.903,1.286,-0.7,-1.505,-1.219,4,3,4
"3138",-1.643,-0.687,-0.887,-0.939,-0.834,-0.906,0.631,0.265,-0.22,-1.199,4,3,4
"3139",-1.641,1.366,-0.059,-1.081,-0.834,-0.908,-1.266,0.44,1.284,-1.177,4,3,4
"3140",-1.325,1.838,0.769,-0.248,-0.263,-0.829,-1.103,-1.27,0.172,-0.764,4,10,3
"3141",-1.71,1.129,1.36,-0.939,-0.638,-0.969,-2.608,0.484,2.068,-0.761,4,10,3
"3142",-1.368,1.22,2.306,-0.177,0.603,-0.904,-3.721,-0.481,2.199,-0.838,4,10,3
"3143",-1.478,-0.996,1.242,-0.125,1.174,-0.999,0.141,-2.191,-1.418,-1.01,4,6,3
"3144",1.192,-1.096,-1.479,0.904,-0.507,2.082,0.239,0.484,0.259,0.647,1,38,7
"3145",1.342,0.602,0.414,0.78,0.619,0.125,-0.71,1.536,1.305,1.732,1,29,1
"3146",0.593,1.111,-0.532,0.632,0.521,-0.17,-0.874,1.01,1.305,-0.037,3,31,2
"3147",0.686,1.511,-0.178,0.375,0.08,-0.974,-1.037,0.221,1.022,-0.044,3,32,2
"3148",-0.022,-0.733,0.414,-0.796,-0.654,-0.533,0.893,-0.876,-1.157,-0.093,3,20,6
"3149",0.272,0.484,0.414,0.332,0.668,-0.503,-0.383,1.536,1.022,0.232,3,13,5
"3150",0.392,1.638,-0.296,0.004,-0.197,-0.534,-0.776,0.089,0.761,0.44,3,32,2
"3151",-1.521,-0.742,-1.124,-1.081,-0.834,-0.746,0.533,0.308,-0.111,-0.872,4,14,4
"3152",-1.612,1.502,-0.651,-1.081,-0.834,-0.291,-0.645,0.44,0.891,-0.791,4,17,4
"3153",-1.595,1.384,0.769,-0.939,-0.671,-0.28,-2.052,-0.042,1.523,-0.785,4,17,3
"3154",-0.951,-1.423,-1.361,-0.125,0.113,-0.583,0.01,0.528,0.456,-0.849,4,6,4
"3155",-0.961,0.321,-0.887,0.032,0.048,-0.618,0.239,1.273,0.586,-0.903,4,6,4
"3156",-0.925,0.884,0.887,0.237,0.358,-0.652,-1.757,1.229,1.894,-0.957,4,6,4
"3157",-0.882,0.848,0.887,0.347,0.652,-0.669,-1.692,1.273,1.85,-0.983,4,6,4
"3158",-0.844,0.012,0.296,0.461,0.913,-0.685,0.795,0.879,-0.22,-1.01,4,6,4
"3159",-0.894,-0.251,2.661,0.585,0.57,-0.701,1.188,-1.446,-2.399,-1.037,4,3,4
"3160",-1.009,-0.288,3.253,0.661,2.889,-0.733,1.122,-2.191,-2.943,-1.089,4,3,4
"3161",-1.066,-0.279,2.78,0.585,2.644,-0.749,1.188,-1.753,-2.595,-1.115,4,3,4
"3162",-1.112,-0.26,2.543,0.513,2.399,-0.763,1.22,-1.446,-2.399,-1.141,4,3,4
"3163",-1.157,-0.242,2.306,0.408,2.089,-0.777,1.22,-1.095,-2.116,-1.167,4,3,4
"3164",-1.191,-0.188,1.833,0.275,2.007,-0.791,1.188,-0.525,-1.68,-1.191,4,3,4
"3165",-1.219,-0.215,1.833,0.137,1.811,-0.804,1.253,-0.569,-1.68,-1.215,4,3,4
"3166",-1.253,-0.333,1.952,0.004,1.583,-0.816,1.351,-1.139,-2.116,-1.237,4,3,4
"3167",-1.356,-0.533,2.543,-0.248,0.979,-0.838,1.188,-2.674,-2.943,-1.276,4,3,4
"3168",-1.409,-0.533,2.543,-0.367,0.619,-0.848,1.22,-2.586,-2.878,-1.287,4,3,4
"3169",-1.514,-0.506,1.952,-0.629,-0.034,-0.864,1.319,-1.84,-2.377,-1.287,4,3,4
"3170",-1.557,-0.479,1.478,-0.763,-0.328,-0.871,1.319,-1.314,-2.028,-1.276,4,3,4
"3171",-1.593,-0.46,1.124,-0.882,-0.573,-0.876,1.319,-0.963,-1.767,-1.258,4,3,4
"3172",-1.638,1.647,-1.006,-1.081,-0.834,-0.884,-0.35,0.396,0.652,-1.215,4,3,4
"3173",-1.619,1.411,0.887,-1.081,-0.834,-0.885,-2.052,-0.174,1.458,-1.191,4,4,4
"3174",-1.456,1.238,1.36,-0.491,0.423,-0.885,-2.673,0.089,1.937,-1.063,4,10,3
"3175",-1.375,1.638,0.414,0.07,0.979,-0.871,-1.332,-0.481,0.826,-0.957,4,10,3
"3176",-1.334,1.584,1.005,0.237,-0.328,-0.848,-1.954,-0.832,1,-0.877,4,10,3
"3177",-1.32,1.593,0.887,0.094,-0.23,-0.838,-1.855,-0.788,0.957,-0.849,4,10,3
"3178",-1.303,1.602,0.769,-0.044,-0.116,-0.827,-1.725,-0.7,0.957,-0.822,4,10,3
"3179",-1.579,-1.087,1.36,-0.567,-0.377,-0.953,-0.187,-2.235,-1.179,-0.774,4,10,3
"3180",-1.456,-0.124,1.124,-0.248,1.321,-1.008,1.122,0.177,-1.048,-1.015,4,6,3
"3181",1.199,-1.133,-0.887,0.708,-0.458,2.056,0.173,0.089,0.063,0.683,1,38,7
"3182",1.204,1.665,-1.242,0.347,-0.426,1.989,-0.154,0.572,0.586,0.714,1,38,7
"3183",1.187,-0.942,-1.715,0.032,-0.54,1.922,0.271,0.659,0.325,0.749,1,38,7
"3184",0.492,-0.015,0.177,0.332,0.048,-0.972,0.828,0.879,-0.242,-0.616,3,32,5
"3185",0.181,-0.669,1.005,-0.177,0.456,-0.641,1.057,-1.358,-1.702,-0.2,3,13,5
"3186",0.145,-0.606,1.478,-0.31,0.211,-0.622,1.188,-1.709,-2.116,-0.177,3,13,5
"3187",0.097,-0.56,1.833,-0.444,-0.001,-0.602,1.253,-1.928,-2.355,-0.153,3,13,5
"3188",0.052,-0.551,1.478,-0.567,-0.312,-0.583,1.253,-1.49,-2.05,-0.128,3,13,5
"3189",0.236,0.53,0.177,0.132,0.423,-0.519,-0.416,1.536,1.087,0.216,3,13,5
"3190",0.255,0.602,-0.414,0.347,0.554,-0.53,-0.318,1.449,1.044,0.267,3,13,5
"3191",-1.504,-1.423,-0.887,-1.081,-0.834,-0.714,-0.219,0.133,0.412,-0.871,4,14,4
"3192",-1.492,-1.405,2.306,-0.939,-0.589,-0.827,-2.183,-3.156,-0.329,-0.995,4,14,3
"3193",-1.409,1.602,2.306,-0.677,0.031,-0.888,-3.132,-2.147,0.935,-1.042,4,10,3
"3194",-1.258,-0.869,1.478,1.027,1.566,-0.92,0.533,-2.235,-1.81,-0.807,4,10,3
"3195",-1.339,-1.414,2.898,1.413,-0.295,-0.866,-2.608,-3.77,-0.481,-0.667,4,10,3
"3196",-1.332,-1.351,2.898,1.384,-0.246,-0.854,-2.379,-4.077,-0.83,-0.642,4,10,3
"3197",-1.607,1.538,-0.887,-1.081,-0.834,-0.281,-0.481,0.484,0.804,-0.768,4,17,4
"3198",-1.028,1.638,-0.651,0.532,-0.246,-0.341,-0.547,0.265,0.717,-0.545,4,2,3
"3199",-0.932,0.911,-0.651,0.004,0.244,-0.458,-0.645,1.229,1.24,-0.69,4,6,4
"3200",-0.92,-0.905,0.532,-0.072,0.325,-0.533,0.533,-1.226,-1.07,-0.798,4,6,4
"3201",-0.937,-0.76,-0.532,-0.044,0.211,-0.551,0.697,-0.086,-0.481,-0.826,4,6,4
"3202",-0.961,-0.188,-0.414,0.07,0.048,-0.586,0.893,0.659,-0.307,-0.88,4,6,4
"3203",-0.975,0.212,-0.532,0.147,-0.05,-0.604,0.37,1.229,0.412,-0.907,4,6,4
"3204",-0.903,0.512,0.532,0.437,0.505,-0.653,-0.547,1.536,1.131,-0.988,4,6,4
"3205",-0.961,-0.188,3.489,0.661,0.113,-0.685,0.828,-2.016,-2.747,-1.042,4,3,4
"3206",-1.016,-0.179,3.489,0.637,2.84,-0.701,0.828,-1.928,-2.682,-1.069,4,3,4
"3207",-1.145,-0.26,2.425,0.389,2.105,-0.746,1.253,-1.226,-2.224,-1.149,4,3,4
"3208",-1.191,-0.26,2.188,0.323,1.86,-0.759,1.286,-1.051,-2.094,-1.176,4,3,4
"3209",-1.224,-0.206,1.833,0.237,1.632,-0.772,1.22,-0.525,-1.68,-1.201,4,3,4
"3210",-1.318,-0.342,1.952,-0.177,1.142,-0.808,1.351,-1.226,-2.181,-1.276,4,3,4
"3211",-1.428,-0.488,2.543,-0.444,0.489,-0.827,1.253,-2.454,-2.943,-1.313,4,3,4
"3212",-1.523,-0.506,1.952,-0.677,-0.165,-0.842,1.319,-1.84,-2.421,-1.313,4,3,4
"3213",-1.567,-0.469,1.597,-0.796,-0.393,-0.849,1.351,-1.402,-2.137,-1.297,4,3,4
"3214",-1.602,-0.46,0.887,-0.939,-0.638,-0.854,1.286,-0.744,-1.549,-1.276,4,3,4
"3215",-1.631,-0.751,-1.242,-1.081,-0.834,-0.858,0.5,0.396,-0.002,-1.252,4,3,4
"3216",-1.619,1.411,0.177,-1.081,-0.834,-0.861,-1.463,0.221,1.305,-1.227,4,4,4
"3217",-1.1,-0.342,2.07,-0.444,0.162,-0.521,1.351,-1.314,-2.246,-0.601,4,6,3
"3218",-1.186,-0.324,2.07,-0.567,0.08,-0.566,1.351,-1.226,-2.181,-0.564,4,6,3
"3219",1.204,-1.405,-1.006,0.513,-0.426,2.032,-0.121,0.265,0.412,0.718,1,38,7
"3220",1.144,0.275,2.07,0.685,0.864,0.731,-0.35,0.922,0.194,1.474,1,29,2
"3221",1.019,0.239,-0.178,-0.939,-1.03,0.398,0.304,1.317,0.434,1.617,1,29,1
"3222",0.512,0.221,1.124,-0.177,-0.099,-1.069,0.173,1.142,0.172,-0.667,3,13,5
"3223",0.5,-0.006,0.887,-0.053,-0.099,-1.038,0.86,0.659,-0.547,-0.639,3,13,5
"3224",0.466,0.057,0.296,0.237,-0.132,-0.986,0.697,1.01,-0.111,-0.594,3,32,5
"3225",0.464,0.112,0.059,0.237,0.603,-0.967,0.599,1.142,0.107,-0.577,3,32,5
"3226",0.425,-0.07,-0.651,0.204,0.342,-0.872,0.697,0.922,-0.002,-0.467,3,32,5
"3227",0.399,-0.197,-0.651,0.204,0.162,-0.829,0.795,0.703,-0.176,-0.407,3,32,5
"3228",0.37,-0.415,-0.532,0.213,-0.034,-0.797,0.926,0.352,-0.46,-0.365,3,32,5
"3229",-0.02,0.957,-0.414,-1.081,-0.834,-0.514,-0.776,1.186,1.327,-0.02,3,20,6
"3230",0.172,0.748,0.414,-0.272,0.129,-0.52,-1.136,1.449,1.567,0.152,3,13,5
"3231",0.236,0.793,-0.059,0.147,0.423,-0.546,-0.874,1.405,1.436,0.252,3,13,5
"3232",-0.906,1.066,0.887,0.585,-0.083,-1.135,-2.052,0.835,1.937,-0.667,4,10,3
"3233",-0.762,1.12,0.65,0.775,1.37,-1.044,-1.855,0.791,1.806,-0.568,4,11,3
"3234",-1.483,-0.733,-1.242,-1.081,-0.834,-0.571,0.5,0.44,0.02,-0.826,4,14,4
"3235",-1.492,1.711,-1.124,-1.081,-0.834,-0.628,-0.219,0.44,0.565,-0.827,4,14,4
"3236",-1.488,-1.405,-0.651,-1.081,-0.834,-0.646,-0.252,0.002,0.347,-0.826,4,14,4
"3237",-1.231,-1.06,1.36,1.142,1.648,-0.898,-0.121,-2.323,-1.309,-0.822,4,10,3
"3238",-1.612,1.075,-1.597,-1.081,-0.834,-0.27,-0.023,0.922,0.673,-0.744,4,1,4
"3239",-1.387,1.057,1.36,-0.248,0.717,-0.182,-2.608,0.659,2.133,-0.69,4,10,3
"3240",-1.342,1.029,1.952,-0.125,0.93,-0.17,-3.164,0.44,2.308,-0.678,4,10,3
"3241",-1.052,1.302,0.65,0.823,3.052,-0.271,-1.888,0.265,1.61,-0.577,4,6,3
"3242",-0.973,0.693,-0.532,0.266,-0.034,-0.408,-0.416,1.405,1.131,-0.637,4,6,4
"3243",-0.958,0.639,-0.178,0.194,0.064,-0.427,-0.547,1.493,1.218,-0.664,4,6,4
"3244",-0.949,0.748,-0.178,0.137,0.129,-0.446,-0.71,1.449,1.349,-0.691,4,6,4
"3245",-0.927,0.993,0.414,0.094,0.276,-0.464,-1.594,1.098,1.785,-0.718,4,6,4
"3246",-0.889,1.12,0.177,0.07,0.538,-0.483,-1.43,0.879,1.61,-0.746,4,6,4
"3247",-0.875,-0.687,-0.651,0.061,0.636,-0.501,0.73,0.089,-0.394,-0.773,4,6,4
"3248",-0.913,-0.497,1.124,0.07,0.374,-0.519,1.286,-1.007,-1.745,-0.8,4,6,4
"3249",-0.946,-0.279,0.65,0.094,0.146,-0.537,1.22,0.002,-1.091,-0.827,4,6,4
"3250",-0.963,-0.115,0.414,0.137,0.031,-0.555,1.024,0.572,-0.59,-0.855,4,6,4
"3251",-0.978,0.702,0.769,0.347,-0.067,-0.605,-1.266,1.493,1.61,-0.937,4,6,4
"3252",-0.918,0.203,0.177,0.532,0.342,-0.637,0.37,1.273,0.303,-0.991,4,6,4
"3253",-0.946,-0.251,2.188,0.637,0.211,-0.653,1.253,-1.051,-2.072,-1.018,4,6,4
"3254",-1.004,-0.306,2.898,0.637,2.922,-0.669,1.188,-2.016,-2.943,-1.046,4,3,4
"3255",-1.054,-0.288,2.78,0.532,2.579,-0.685,1.22,-1.797,-2.617,-1.073,4,3,4
"3256",-1.107,-0.26,2.661,0.437,2.22,-0.7,1.188,-1.49,-2.442,-1.1,4,3,4
"3257",-1.217,-0.26,2.07,0.194,1.615,-0.741,1.286,-0.963,-2.028,-1.181,4,3,4
"3258",-1.286,-0.206,1.715,0.07,1.207,-0.765,1.22,-0.481,-1.614,-1.235,4,3,4
"3259",-1.344,-0.26,1.715,-0.215,0.962,-0.787,1.286,-0.7,-1.81,-1.287,4,3,4
"3260",-1.382,-0.379,2.306,-0.353,0.701,-0.797,1.319,-1.753,-2.508,-1.313,4,3,4
"3261",-1.437,-0.442,2.425,-0.491,0.423,-0.806,1.319,-2.147,-2.747,-1.336,4,3,4
"3262",-1.579,-0.469,1.715,-0.882,-0.54,-0.827,1.351,-1.446,-2.159,-1.313,4,3,4
"3263",-1.619,-0.497,0.177,-0.939,-0.752,-0.832,1.122,-0.174,-0.982,-1.287,4,3,4
"3264",-1.626,1.456,-0.887,-1.081,-0.834,-0.835,-0.547,0.572,0.891,-1.261,4,3,4
"3265",-1.468,-1.069,1.36,-0.939,-0.883,-0.868,-0.154,-2.279,-1.244,-0.796,4,10,3
"3266",-1.509,-1.396,0.532,-0.567,-0.85,-0.898,-0.874,-1.095,0.129,-0.822,4,10,3
"3267",-1.512,-1.251,0.414,-0.491,-0.654,-0.903,-0.383,-1.095,-0.242,-0.826,4,10,3
"3268",-1.332,0.984,2.306,-0.567,0.391,-0.847,-3.361,0.44,2.373,-0.758,4,10,3
"3269",-1.04,0.43,-0.296,0.032,0.113,-0.604,-0.023,1.449,0.804,-0.69,4,6,3
"3270",-1.586,-0.106,2.188,-0.477,0.44,-1.018,0.991,-0.393,-1.549,-1.019,4,6,3
"3271",-1.614,0.003,2.78,-0.567,0.244,-1.041,0.533,-0.393,-1.396,-1.047,4,6,3
"3272",0.112,1.102,0.177,0.213,1.142,0.373,-1.463,0.922,1.632,-1.149,3,33,2
"3273",0.16,1.02,0.296,0.437,0.881,0.409,-1.463,1.054,1.698,-1.096,3,33,2
"3274",0.473,0.203,1.242,-0.367,-0.36,-1.101,0.239,1.098,0.107,-0.654,3,13,5
"3275",0.476,0.212,1.242,-0.31,-0.263,-1.084,0.173,1.142,0.151,-0.642,3,13,5
"3276",0.471,0.085,1.005,-0.168,-0.214,-1.053,0.599,0.879,-0.242,-0.616,3,13,5
"3277",0.442,0.094,0.177,0.132,-0.148,-0.998,0.631,1.098,0.02,-0.572,3,13,5
"3278",0.375,-0.242,-0.651,0.061,-0.001,-0.829,0.86,0.659,-0.263,-0.368,3,32,5
"3279",-0.025,-0.642,-1.124,-1.081,-0.834,-0.544,0.599,0.396,-0.111,-0.031,3,23,6
"3280",0.155,0.648,0.414,-0.367,0.015,-0.541,-0.841,1.536,1.371,0.164,3,13,5
"3281",0.318,1.175,0.059,0.585,0.521,-0.586,-1.397,0.791,1.545,0.364,3,13,1
"3282",-1.219,-1.396,2.07,1.137,0.521,-0.827,-1.888,-2.761,-0.263,-0.69,4,10,3
"3283",-1.191,1.366,-0.059,1.027,0.962,-0.681,-1.299,0.44,1.305,-0.467,4,10,3
"3284",-1.614,1.229,-0.887,-1.081,-0.834,-0.25,-0.547,0.879,1.044,-0.717,4,17,4
"3285",-1.528,1.302,1.597,-0.796,-0.295,-0.23,-2.935,-0.305,1.894,-0.71,4,10,3
"3286",-0.99,0.711,-1.242,0.546,-0.148,-0.358,-0.088,1.142,0.826,-0.583,4,2,4
"3287",-0.99,0.394,-1.006,0.461,-0.148,-0.377,0.141,1.229,0.652,-0.61,4,2,4
"3288",-0.99,0.43,-0.532,0.389,-0.148,-0.395,0.01,1.405,0.782,-0.637,4,2,4
"3289",-0.956,0.857,0.414,0.275,0.08,-0.433,-1.332,1.317,1.698,-0.692,4,6,4
"3290",-0.891,0.875,-0.059,0.213,0.521,-0.469,-0.972,1.317,1.48,-0.747,4,6,4
"3291",-0.992,-0.061,1.005,0.275,-0.165,-0.54,0.959,0.484,-0.765,-0.856,4,6,4
"3292",-1.006,0.003,0.769,0.323,-0.263,-0.556,0.828,0.747,-0.46,-0.883,4,3,4
"3293",-1.016,0.294,0.296,0.389,-0.328,-0.573,0.141,1.405,0.521,-0.91,4,3,4
"3294",-0.966,0.612,1.36,0.546,0.015,-0.605,-1.365,1.449,1.523,-0.965,4,6,4
"3295",-0.949,0.139,0.532,0.637,0.129,-0.621,0.533,1.098,0.042,-0.992,4,6,4
"3296",-0.978,-0.324,1.952,0.637,3.036,-0.637,1.351,-1.183,-2.137,-1.019,4,6,4
"3297",-1.033,-0.406,2.543,0.532,2.66,-0.652,1.319,-2.016,-2.704,-1.047,4,3,4
"3298",-1.081,-0.406,2.425,0.437,2.399,-0.667,1.319,-2.016,-2.682,-1.074,4,3,4
"3299",-1.212,-0.251,2.07,0.147,1.501,-0.709,1.286,-0.876,-1.941,-1.156,4,3,4
"3300",-1.248,-0.242,1.952,0.07,1.256,-0.722,1.286,-0.832,-1.919,-1.183,4,3,4
"3301",-1.282,-0.233,1.715,0.004,1.174,-0.734,1.286,-0.569,-1.702,-1.21,4,3,4
"3302",-1.313,-0.233,1.597,-0.044,1.027,-0.746,1.286,-0.481,-1.614,-1.237,4,3,4
"3303",-1.344,-0.224,1.478,-0.125,0.815,-0.757,1.253,-0.349,-1.505,-1.265,4,3,4
"3304",-1.409,-0.36,1.952,-0.367,0.521,-0.777,1.351,-1.226,-2.137,-1.319,4,3,4
"3305",-1.547,-0.442,1.833,-0.796,-0.328,-0.799,1.351,-1.533,-2.268,-1.347,4,3,4
"3306",-1.622,-0.806,-1.006,-1.081,-0.834,-0.81,0.5,0.265,-0.111,-1.292,4,3,4
"3307",-1.44,0.757,2.07,-0.796,-0.099,-0.848,-2.51,1.098,2.046,-0.761,4,10,3
"3308",-1.286,0.857,2.543,-0.567,0.505,-0.816,-3.23,0.703,2.308,-0.737,4,10,3
"3309",-1.035,0.321,-0.769,-0.367,0.146,-0.537,0.206,1.273,0.586,-0.625,4,6,3
"3310",-1.09,-0.397,1.833,-0.567,0.227,-0.501,1.351,-1.314,-2.159,-0.577,4,6,3
"3311",-1.617,-0.233,2.07,-0.567,0.227,-1.021,1.253,-0.919,-1.985,-1.018,4,6,3
"3312",1.194,0.612,-0.296,-0.072,-0.409,1.622,-0.383,1.493,1.109,0.994,1,23,7
"3313",1.249,0.112,-1.006,0.918,0.717,1.239,0.468,1.098,0.303,1.274,1,23,1
"3314",0.057,-0.551,-1.124,0.194,-0.034,0.019,0.631,0.484,-0.089,-0.983,3,31,1
"3315",0.437,0.185,1.124,-0.367,-0.442,-1.084,0.304,1.098,0.063,-0.606,3,13,5
"3316",0.43,0.094,0.532,-0.072,-0.23,-1.029,0.631,1.01,-0.089,-0.565,3,13,5
"3317",0.392,0.148,0.059,-0.082,0.113,-0.908,0.5,1.186,0.172,-0.428,3,13,5
"3318",0.136,-0.415,1.597,-0.353,-0.001,-0.675,1.351,-1.139,-2.007,-0.156,3,13,5
"3319",-0.008,-0.578,-0.414,-0.939,-0.72,-0.574,0.893,0.045,-0.59,-0.041,3,23,6
"3320",0.119,0.684,0.414,-0.567,-0.23,-0.553,-0.972,1.493,1.48,0.151,3,13,5
"3321",-0.982,0.212,-1.834,0.637,-1.634,-1.243,0.206,0.879,0.477,-0.812,4,2,3
"3322",-1.452,-0.506,-1.242,-1.081,-0.834,-0.589,0.566,0.572,-0.002,-0.752,4,14,4
"3323",-1.449,1.82,-0.532,-0.939,-0.883,-0.573,-0.416,-0.086,0.412,-0.758,4,14,4
"3324",-1.44,1.829,0.887,-0.796,-0.54,-0.583,-1.234,-1.402,0.172,-0.8,4,10,3
"3325",-1.148,-1.405,0.059,0.832,2.154,-0.863,-0.612,-0.569,0.238,-0.987,4,10,3
"3326",-1.009,1.175,-0.532,1.042,-0.116,-0.269,-0.907,0.879,1.284,-0.517,4,6,3
"3327",-1.002,-0.197,-1.834,0.937,-0.23,-0.288,0.271,0.835,0.39,-0.501,4,2,4
