"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Area_Of_Wilderness","Soil_Type","Cover_Type"
0.247,0,0.076,0.144,0.298,0.132,0.839,0.909,0.614,0.08,"W4","S6","C4"
0.245,0.533,0.136,0.168,0.293,0.126,0.866,0.976,0.638,0.072,"W4","S6","C4"
0.252,0.706,0.364,0.198,0.318,0.119,0.626,0.972,0.874,0.064,"W4","S6","C4"
0.261,0.694,0.364,0.215,0.341,0.116,0.634,0.976,0.866,0.06,"W4","S6","C4"
0.269,0.439,0.288,0.232,0.362,0.113,0.933,0.941,0.492,0.056,"W4","S6","C4"
0.259,0.358,0.591,0.251,0.335,0.11,0.98,0.732,0.098,0.052,"W4","S3","C4"
0.235,0.347,0.667,0.262,0.518,0.104,0.972,0.665,0,0.044,"W4","S3","C4"
0.223,0.35,0.606,0.251,0.499,0.101,0.98,0.705,0.063,0.04,"W4","S3","C4"
0.213,0.356,0.576,0.24,0.479,0.099,0.984,0.732,0.098,0.036,"W4","S3","C4"
0.204,0.361,0.545,0.224,0.455,0.096,0.984,0.764,0.15,0.032,"W4","S3","C4"
0.197,0.378,0.485,0.204,0.448,0.094,0.98,0.815,0.228,0.028,"W4","S3","C4"
0.191,0.369,0.485,0.183,0.433,0.091,0.988,0.811,0.228,0.024,"W4","S3","C4"
0.184,0.333,0.5,0.163,0.415,0.089,1,0.76,0.15,0.021,"W4","S3","C4"
0.162,0.272,0.576,0.125,0.367,0.085,0.98,0.622,0,0.015,"W4","S3","C4"
0.151,0.272,0.576,0.107,0.339,0.083,0.984,0.63,0.012,0.013,"W4","S3","C4"
0.129,0.281,0.5,0.068,0.287,0.08,0.996,0.697,0.102,0.013,"W4","S3","C4"
0.12,0.289,0.439,0.048,0.264,0.079,0.996,0.744,0.165,0.015,"W4","S3","C4"
0.113,0.294,0.394,0.03,0.244,0.078,0.996,0.776,0.213,0.018,"W4","S3","C4"
0.103,0.939,0.121,0,0.224,0.076,0.795,0.898,0.65,0.024,"W4","S3","C4"
0.107,0.867,0.364,0,0.224,0.076,0.591,0.846,0.795,0.028,"W4","S4","C4"
0.141,0.814,0.424,0.089,0.323,0.076,0.516,0.87,0.882,0.048,"W4","S10","C3"
0.158,0.936,0.303,0.173,0.367,0.079,0.677,0.819,0.681,0.064,"W4","S10","C3"
0.167,0.919,0.379,0.198,0.264,0.083,0.602,0.787,0.713,0.076,"W4","S10","C3"
0.17,0.922,0.364,0.177,0.271,0.085,0.614,0.791,0.705,0.08,"W4","S10","C3"
0.173,0.925,0.348,0.156,0.28,0.087,0.63,0.799,0.705,0.085,"W4","S10","C3"
0.116,0.103,0.424,0.077,0.26,0.063,0.815,0.661,0.319,0.092,"W4","S10","C3"
0.141,0.397,0.394,0.125,0.394,0.053,0.972,0.878,0.343,0.055,"W4","S6","C3"
0.696,0.089,0.136,0.269,0.253,0.624,0.858,0.87,0.543,0.315,"W1","S38","C7"
0.697,0.944,0.091,0.215,0.256,0.611,0.819,0.913,0.638,0.32,"W1","S38","C7"
0.693,0.147,0.03,0.168,0.247,0.599,0.87,0.921,0.591,0.326,"W1","S38","C7"
0.548,0.431,0.273,0.213,0.293,0.06,0.937,0.941,0.488,0.116,"W3","S32","C5"
0.483,0.231,0.379,0.136,0.326,0.122,0.965,0.74,0.224,0.18,"W3","S13","C5"
0.476,0.25,0.439,0.116,0.306,0.125,0.98,0.709,0.15,0.184,"W3","S13","C5"
0.466,0.264,0.485,0.096,0.289,0.129,0.988,0.689,0.106,0.187,"W3","S13","C5"
0.456,0.267,0.439,0.077,0.265,0.132,0.988,0.728,0.161,0.191,"W3","S13","C5"
0.495,0.597,0.273,0.183,0.323,0.144,0.787,1,0.728,0.244,"W3","S13","C5"
0.499,0.619,0.197,0.215,0.333,0.142,0.799,0.992,0.72,0.252,"W3","S13","C5"
0.131,0,0.136,0,0.224,0.108,0.811,0.874,0.606,0.077,"W4","S14","C4"
0.134,0.006,0.545,0.021,0.243,0.087,0.575,0.579,0.472,0.058,"W4","S14","C3"
0.151,0.925,0.545,0.061,0.292,0.075,0.461,0.669,0.701,0.051,"W4","S10","C3"
0.183,0.169,0.439,0.317,0.413,0.07,0.902,0.661,0.205,0.087,"W4","S10","C3"
0.166,0.003,0.621,0.375,0.266,0.08,0.524,0.524,0.445,0.108,"W4","S10","C3"
0.167,0.022,0.621,0.371,0.27,0.082,0.551,0.496,0.382,0.112,"W4","S10","C3"
0.11,0.906,0.136,0,0.224,0.189,0.78,0.906,0.677,0.093,"W4","S17","C4"
0.231,0.936,0.167,0.243,0.27,0.177,0.772,0.886,0.661,0.127,"W4","S2","C3"
0.251,0.714,0.167,0.163,0.309,0.156,0.76,0.972,0.756,0.105,"W4","S6","C4"
0.253,0.158,0.318,0.152,0.315,0.142,0.902,0.752,0.339,0.088,"W4","S6","C4"
0.25,0.203,0.182,0.156,0.306,0.138,0.921,0.854,0.445,0.084,"W4","S6","C4"
0.245,0.378,0.197,0.173,0.293,0.132,0.945,0.921,0.476,0.076,"W4","S6","C4"
0.242,0.5,0.182,0.185,0.286,0.128,0.882,0.972,0.606,0.072,"W4","S6","C4"
0.257,0.592,0.318,0.228,0.329,0.119,0.772,1,0.736,0.059,"W4","S6","C4"
0.245,0.378,0.697,0.262,0.298,0.113,0.937,0.681,0.035,0.051,"W4","S3","C4"
0.233,0.381,0.697,0.258,0.514,0.11,0.937,0.689,0.047,0.047,"W4","S3","C4"
0.206,0.356,0.561,0.221,0.456,0.102,0.988,0.752,0.13,0.034,"W4","S3","C4"
0.197,0.356,0.53,0.211,0.437,0.099,0.992,0.768,0.154,0.03,"W4","S3","C4"
0.19,0.372,0.485,0.198,0.419,0.097,0.984,0.815,0.228,0.026,"W4","S3","C4"
0.17,0.331,0.5,0.136,0.38,0.09,1,0.752,0.138,0.015,"W4","S3","C4"
0.147,0.286,0.576,0.096,0.328,0.087,0.988,0.642,0,0.009,"W4","S3","C4"
0.127,0.281,0.5,0.061,0.276,0.084,0.996,0.697,0.094,0.009,"W4","S3","C4"
0.118,0.292,0.455,0.043,0.258,0.083,1,0.736,0.146,0.012,"W4","S3","C4"
0.111,0.294,0.364,0.021,0.239,0.082,0.992,0.795,0.252,0.015,"W4","S3","C4"
0.105,0.206,0.091,0,0.224,0.081,0.898,0.898,0.531,0.019,"W4","S3","C4"
0.107,0.867,0.273,0,0.224,0.081,0.661,0.882,0.768,0.023,"W4","S4","C4"
0.216,0.331,0.515,0.096,0.302,0.144,1,0.744,0.126,0.118,"W4","S6","C3"
0.198,0.336,0.515,0.077,0.296,0.135,1,0.752,0.138,0.124,"W4","S6","C3"
0.697,0.006,0.121,0.24,0.256,0.619,0.823,0.886,0.606,0.321,"W1","S38","C7"
0.684,0.519,0.515,0.266,0.358,0.377,0.795,0.945,0.567,0.437,"W1","S29","C2"
0.658,0.508,0.227,0.021,0.208,0.315,0.874,0.98,0.61,0.459,"W1","S29","C1"
0.552,0.503,0.394,0.136,0.282,0.042,0.858,0.965,0.563,0.108,"W3","S13","C5"
0.55,0.433,0.364,0.155,0.282,0.048,0.941,0.921,0.433,0.113,"W3","S13","C5"
0.543,0.453,0.288,0.198,0.279,0.057,0.921,0.953,0.512,0.12,"W3","S32","C5"
0.542,0.469,0.258,0.198,0.337,0.061,0.909,0.965,0.551,0.122,"W3","S32","C5"
0.534,0.414,0.167,0.193,0.317,0.078,0.921,0.945,0.531,0.139,"W3","S32","C5"
0.529,0.375,0.167,0.193,0.302,0.087,0.933,0.925,0.5,0.148,"W3","S32","C5"
0.523,0.308,0.182,0.195,0.287,0.092,0.949,0.894,0.449,0.155,"W3","S32","C5"
0.441,0.728,0.197,0,0.224,0.145,0.744,0.969,0.772,0.208,"W3","S20","C6"
0.481,0.664,0.303,0.122,0.3,0.144,0.701,0.992,0.815,0.234,"W3","S13","C5"
0.495,0.678,0.242,0.185,0.323,0.139,0.732,0.988,0.791,0.249,"W3","S13","C5"
0.256,0.761,0.364,0.251,0.283,0.03,0.591,0.937,0.882,0.108,"W4","S10","C3"
0.286,0.778,0.333,0.279,0.398,0.046,0.614,0.933,0.858,0.124,"W4","S11","C3"
0.136,0.211,0.091,0,0.224,0.134,0.898,0.902,0.535,0.084,"W4","S14","C4"
0.134,0.958,0.106,0,0.224,0.124,0.811,0.902,0.634,0.084,"W4","S14","C4"
0.135,0.006,0.167,0,0.224,0.121,0.807,0.862,0.594,0.084,"W4","S14","C4"
0.188,0.111,0.424,0.334,0.42,0.074,0.823,0.654,0.295,0.085,"W4","S10","C3"
0.109,0.764,0.045,0,0.224,0.191,0.835,0.945,0.654,0.097,"W4","S1","C4"
0.156,0.758,0.424,0.125,0.346,0.207,0.524,0.921,0.917,0.105,"W4","S10","C3"
0.165,0.75,0.5,0.144,0.363,0.209,0.457,0.902,0.949,0.107,"W4","S10","C3"
0.226,0.833,0.333,0.286,0.531,0.19,0.61,0.886,0.823,0.122,"W4","S6","C3"
0.242,0.647,0.182,0.203,0.287,0.165,0.787,0.988,0.736,0.113,"W4","S6","C4"
0.245,0.631,0.227,0.192,0.295,0.161,0.772,0.996,0.752,0.109,"W4","S6","C4"
0.247,0.664,0.227,0.183,0.3,0.158,0.752,0.992,0.776,0.105,"W4","S6","C4"
0.252,0.739,0.303,0.177,0.311,0.154,0.646,0.961,0.854,0.101,"W4","S6","C4"
0.26,0.778,0.273,0.173,0.332,0.151,0.665,0.941,0.823,0.096,"W4","S6","C4"
0.263,0.225,0.167,0.172,0.34,0.148,0.925,0.87,0.461,0.092,"W4","S6","C4"
0.255,0.283,0.394,0.173,0.319,0.144,0.992,0.772,0.217,0.088,"W4","S6","C4"
0.248,0.35,0.333,0.177,0.301,0.141,0.984,0.862,0.335,0.084,"W4","S6","C4"
0.244,0.4,0.303,0.183,0.292,0.138,0.961,0.913,0.425,0.08,"W4","S6","C4"
0.241,0.65,0.348,0.215,0.284,0.128,0.685,0.996,0.823,0.067,"W4","S6","C4"
0.254,0.497,0.273,0.243,0.317,0.122,0.882,0.976,0.587,0.059,"W4","S6","C4"
0.248,0.358,0.53,0.258,0.306,0.119,0.988,0.768,0.157,0.055,"W4","S6","C4"
0.236,0.342,0.621,0.258,0.521,0.116,0.98,0.681,0,0.05,"W4","S3","C4"
0.225,0.347,0.606,0.243,0.494,0.113,0.984,0.701,0.059,0.046,"W4","S3","C4"
0.214,0.356,0.591,0.228,0.465,0.111,0.98,0.728,0.091,0.042,"W4","S3","C4"
0.191,0.356,0.515,0.192,0.417,0.103,0.992,0.776,0.165,0.03,"W4","S3","C4"
0.177,0.372,0.47,0.173,0.385,0.098,0.984,0.819,0.24,0.021,"W4","S3","C4"
0.165,0.356,0.47,0.13,0.366,0.094,0.992,0.799,0.205,0.013,"W4","S3","C4"
0.157,0.319,0.545,0.11,0.345,0.092,0.996,0.705,0.079,0.009,"W4","S3","C4"
0.145,0.3,0.561,0.089,0.323,0.091,0.996,0.669,0.035,0.006,"W4","S3","C4"
0.116,0.292,0.47,0.03,0.247,0.087,1,0.732,0.142,0.009,"W4","S3","C4"
0.107,0.283,0.273,0.021,0.23,0.086,0.972,0.846,0.354,0.013,"W4","S3","C4"
0.106,0.881,0.136,0,0.224,0.085,0.772,0.913,0.693,0.017,"W4","S3","C4"
0.139,0.108,0.424,0.021,0.22,0.079,0.819,0.657,0.307,0.089,"W4","S10","C3"
0.13,0.008,0.318,0.077,0.222,0.074,0.732,0.764,0.555,0.085,"W4","S10","C3"
0.13,0.053,0.303,0.089,0.238,0.073,0.791,0.764,0.488,0.084,"W4","S10","C3"
0.167,0.736,0.545,0.077,0.32,0.083,0.433,0.902,0.961,0.094,"W4","S10","C3"
0.228,0.567,0.212,0.168,0.298,0.128,0.835,0.992,0.677,0.105,"W4","S6","C3"
0.114,0.403,0.53,0.091,0.324,0.051,0.957,0.827,0.252,0.054,"W4","S6","C3"
0.108,0.436,0.606,0.077,0.309,0.047,0.902,0.827,0.28,0.05,"W4","S6","C3"
0.469,0.772,0.273,0.195,0.38,0.31,0.661,0.945,0.827,0.034,"W3","S33","C2"
0.479,0.747,0.288,0.228,0.359,0.317,0.661,0.957,0.839,0.043,"W3","S33","C2"
0.544,0.497,0.409,0.107,0.261,0.036,0.866,0.961,0.551,0.11,"W3","S13","C5"
0.545,0.5,0.409,0.116,0.269,0.039,0.858,0.965,0.559,0.112,"W3","S13","C5"
0.544,0.461,0.379,0.137,0.273,0.045,0.909,0.941,0.488,0.116,"W3","S13","C5"
0.538,0.464,0.273,0.183,0.278,0.055,0.913,0.961,0.535,0.123,"W3","S13","C5"
0.524,0.361,0.167,0.172,0.289,0.087,0.941,0.921,0.484,0.154,"W3","S32","C5"
0.44,0.239,0.106,0,0.224,0.14,0.909,0.898,0.512,0.206,"W3","S23","C6"
0.478,0.633,0.303,0.107,0.291,0.14,0.736,1,0.78,0.236,"W3","S13","C5"
0.512,0.794,0.258,0.251,0.331,0.132,0.669,0.933,0.811,0.266,"W3","S13","C1"
0.191,0.008,0.515,0.334,0.331,0.087,0.61,0.614,0.484,0.105,"W4","S10","C3"
0.197,0.853,0.242,0.317,0.366,0.114,0.681,0.902,0.768,0.139,"W4","S10","C3"
0.108,0.811,0.136,0,0.224,0.194,0.772,0.941,0.72,0.101,"W4","S17","C4"
0.126,0.833,0.455,0.043,0.266,0.198,0.484,0.835,0.874,0.102,"W4","S10","C3"
0.239,0.653,0.091,0.245,0.278,0.174,0.827,0.965,0.681,0.121,"W4","S2","C4"
0.239,0.556,0.121,0.232,0.278,0.171,0.854,0.972,0.65,0.117,"W4","S2","C4"
0.239,0.567,0.182,0.221,0.278,0.167,0.839,0.988,0.673,0.113,"W4","S2","C4"
0.246,0.697,0.303,0.204,0.296,0.16,0.677,0.98,0.839,0.105,"W4","S6","C4"
0.259,0.703,0.242,0.195,0.331,0.153,0.72,0.98,0.799,0.096,"W4","S6","C4"
0.238,0.417,0.379,0.204,0.276,0.14,0.953,0.906,0.394,0.079,"W4","S6","C4"
0.235,0.436,0.348,0.211,0.269,0.137,0.937,0.929,0.449,0.075,"W4","S3","C4"
0.233,0.525,0.288,0.221,0.264,0.134,0.854,0.988,0.626,0.071,"W4","S3","C4"
0.244,0.622,0.424,0.245,0.291,0.128,0.673,0.992,0.807,0.063,"W4","S6","C4"
0.247,0.478,0.318,0.258,0.3,0.125,0.902,0.961,0.539,0.059,"W4","S6","C4"
0.241,0.336,0.5,0.258,0.53,0.122,1,0.756,0.146,0.054,"W4","S6","C4"
0.23,0.311,0.576,0.243,0.5,0.119,0.996,0.681,0.043,0.05,"W4","S3","C4"
0.22,0.311,0.561,0.228,0.479,0.117,0.996,0.681,0.047,0.046,"W4","S3","C4"
0.192,0.358,0.515,0.185,0.408,0.109,0.992,0.783,0.181,0.033,"W4","S3","C4"
0.185,0.361,0.5,0.173,0.389,0.106,0.992,0.787,0.185,0.029,"W4","S3","C4"
0.178,0.364,0.47,0.163,0.382,0.104,0.992,0.811,0.224,0.025,"W4","S3","C4"
0.171,0.364,0.455,0.156,0.371,0.102,0.992,0.819,0.24,0.021,"W4","S3","C4"
0.165,0.367,0.439,0.144,0.354,0.1,0.988,0.831,0.26,0.017,"W4","S3","C4"
0.151,0.325,0.5,0.107,0.331,0.096,1,0.752,0.146,0.008,"W4","S3","C4"
0.122,0.3,0.485,0.043,0.264,0.092,1,0.724,0.122,0.004,"W4","S3","C4"
0.107,0.189,0.121,0,0.224,0.09,0.898,0.886,0.512,0.013,"W4","S3","C4"
0.145,0.667,0.515,0.043,0.282,0.083,0.535,0.961,0.902,0.094,"W4","S10","C3"
0.177,0.697,0.576,0.077,0.329,0.089,0.449,0.925,0.949,0.098,"W4","S10","C3"
0.229,0.533,0.152,0.107,0.301,0.141,0.862,0.976,0.638,0.115,"W4","S6","C3"
0.218,0.314,0.485,0.077,0.307,0.148,1,0.744,0.142,0.122,"W4","S6","C3"
0.108,0.364,0.515,0.077,0.307,0.051,0.988,0.78,0.173,0.055,"W4","S6","C3"
0.695,0.622,0.212,0.152,0.257,0.543,0.791,0.996,0.732,0.363,"W1","S23","C7"
0.706,0.469,0.121,0.301,0.346,0.472,0.894,0.961,0.587,0.406,"W1","S23","C1"
0.457,0.267,0.106,0.192,0.287,0.244,0.913,0.906,0.516,0.06,"W3","S31","C1"
0.537,0.492,0.394,0.107,0.255,0.039,0.874,0.961,0.543,0.118,"W3","S13","C5"
0.535,0.464,0.318,0.152,0.271,0.049,0.913,0.953,0.516,0.124,"W3","S13","C5"
0.527,0.481,0.258,0.15,0.298,0.072,0.898,0.969,0.563,0.145,"W3","S13","C5"
0.474,0.308,0.455,0.11,0.289,0.115,1,0.76,0.169,0.187,"W3","S13","C5"
0.444,0.258,0.197,0.021,0.233,0.134,0.945,0.866,0.425,0.204,"W3","S23","C6"
0.47,0.644,0.303,0.077,0.271,0.138,0.72,0.996,0.799,0.234,"W3","S13","C5"
0.24,0.5,0.015,0.258,0.16,0.009,0.862,0.941,0.618,0.086,"W4","S2","C3"
0.142,0.281,0.091,0,0.224,0.131,0.906,0.913,0.531,0.095,"W4","S14","C4"
0.143,0.992,0.182,0.021,0.22,0.134,0.787,0.854,0.606,0.094,"W4","S14","C4"
0.145,0.994,0.364,0.043,0.247,0.132,0.689,0.736,0.563,0.088,"W4","S10","C3"
0.206,0.006,0.258,0.288,0.46,0.08,0.764,0.811,0.575,0.059,"W4","S10","C3"
0.235,0.794,0.182,0.319,0.28,0.191,0.728,0.941,0.764,0.131,"W4","S6","C3"
0.236,0.375,0.015,0.304,0.271,0.187,0.87,0.937,0.602,0.134,"W4","S2","C4"
0.235,0.531,0.182,0.275,0.269,0.18,0.862,0.98,0.638,0.125,"W4","S2","C4"
0.236,0.514,0.227,0.251,0.271,0.173,0.874,0.98,0.614,0.117,"W4","S2","C4"
0.236,0.55,0.212,0.24,0.271,0.17,0.846,0.988,0.657,0.113,"W4","S2","C4"
0.238,0.65,0.273,0.231,0.275,0.166,0.732,0.996,0.787,0.109,"W4","S2","C4"
0.244,0.708,0.379,0.224,0.291,0.163,0.606,0.969,0.886,0.105,"W4","S6","C4"
0.252,0.725,0.394,0.219,0.311,0.159,0.587,0.957,0.894,0.101,"W4","S6","C4"
0.255,0.347,0.439,0.215,0.319,0.153,0.996,0.807,0.228,0.092,"W4","S6","C4"
0.236,0.369,0.455,0.219,0.271,0.146,0.988,0.827,0.248,0.084,"W4","S3","C4"
0.232,0.414,0.394,0.224,0.26,0.143,0.957,0.894,0.374,0.08,"W4","S3","C4"
0.228,0.456,0.364,0.231,0.251,0.14,0.921,0.941,0.48,0.075,"W4","S3","C4"
0.228,0.544,0.318,0.24,0.251,0.137,0.827,0.992,0.661,0.071,"W4","S3","C4"
0.237,0.636,0.394,0.262,0.274,0.131,0.673,0.996,0.819,0.063,"W4","S6","C4"
0.187,0.333,0.485,0.168,0.394,0.112,1,0.764,0.157,0.034,"W4","S3","C4"
0.179,0.344,0.47,0.155,0.373,0.11,0.996,0.787,0.189,0.03,"W4","S3","C4"
0.172,0.358,0.455,0.144,0.355,0.108,0.992,0.815,0.232,0.025,"W4","S3","C4"
0.14,0.281,0.485,0.077,0.302,0.099,0.996,0.709,0.118,0.006,"W4","S3","C4"
0.129,0.061,0.455,0.116,0.344,0.08,0.732,0.634,0.378,0.075,"W4","S10","C3"
0.221,0.344,0.394,0.068,0.28,0.15,0.996,0.827,0.264,0.123,"W4","S6","C3"
0.687,0.583,0.136,0.091,0.238,0.555,0.839,0.98,0.673,0.36,"W1","S23","C7"
0.688,0.553,0.364,0.236,0.249,0.271,0.799,0.992,0.673,0.488,"W1","S29","C1"
0.53,0.506,0.303,0.091,0.245,0.036,0.874,0.976,0.591,0.122,"W3","S13","C5"
0.526,0.467,0.364,0.136,0.295,0.055,0.909,0.949,0.5,0.132,"W3","S13","C5"
0.522,0.483,0.333,0.129,0.286,0.066,0.894,0.965,0.543,0.145,"W3","S13","C5"
0.521,0.389,0.121,0.13,0.297,0.084,0.917,0.937,0.539,0.163,"W3","S13","C5"
0.463,0.317,0.394,0.086,0.262,0.117,1,0.799,0.236,0.193,"W3","S13","C5"
0.45,0.303,0.273,0.043,0.24,0.124,0.976,0.854,0.354,0.199,"W3","S23","C5"
0.447,0.283,0.197,0.021,0.233,0.128,0.953,0.874,0.421,0.203,"W3","S23","C5"
0.147,0.439,0.364,0,0.224,0.126,0.933,0.929,0.449,0.103,"W4","S14","C4"
0.142,0.375,0.03,0,0.224,0.132,0.874,0.937,0.594,0.101,"W4","S14","C4"
0.154,0.981,0.409,0.064,0.275,0.125,0.642,0.713,0.587,0.075,"W4","S10","C3"
0.211,0.039,0.424,0.292,0.384,0.116,0.713,0.665,0.441,0.142,"W4","S10","C3"
0.125,0.444,0.379,0.021,0.229,0.193,0.929,0.929,0.449,0.11,"W4","S1","C4"
0.124,0.539,0.348,0.021,0.233,0.195,0.823,0.988,0.65,0.109,"W4","S1","C4"
0.127,0.744,0.515,0.043,0.271,0.206,0.453,0.906,0.953,0.11,"W4","S10","C3"
0.231,0.386,0.212,0.305,0.258,0.186,0.945,0.925,0.48,0.13,"W4","S2","C4"
0.23,0.508,0.288,0.28,0.256,0.179,0.874,0.98,0.598,0.122,"W4","S2","C4"
0.235,0.675,0.318,0.251,0.267,0.169,0.689,0.988,0.827,0.109,"W4","S2","C4"
0.242,0.714,0.424,0.245,0.286,0.165,0.571,0.957,0.906,0.105,"W4","S6","C4"
0.251,0.697,0.379,0.24,0.309,0.162,0.622,0.976,0.874,0.101,"W4","S6","C4"
0.249,0.344,0.5,0.236,0.304,0.155,0.996,0.764,0.154,0.092,"W4","S6","C4"
0.225,0.403,0.394,0.245,0.243,0.146,0.965,0.886,0.358,0.08,"W4","S3","C4"
0.223,0.586,0.303,0.259,0.236,0.14,0.783,1,0.72,0.072,"W4","S3","C4"
0.233,0.675,0.348,0.262,0.497,0.134,0.657,0.988,0.85,0.063,"W4","S3","C4"
0.239,0.572,0.167,0.245,0.516,0.131,0.839,0.984,0.673,0.059,"W4","S6","C4"
0.228,0.286,0.561,0.213,0.487,0.126,0.992,0.654,0.024,0.051,"W4","S3","C4"
0.215,0.292,0.621,0.198,0.463,0.123,0.984,0.618,0,0.047,"W4","S3","C4"
0.203,0.303,0.591,0.183,0.43,0.121,0.992,0.657,0,0.043,"W4","S3","C4"
0.183,0.319,0.485,0.152,0.384,0.116,1,0.748,0.142,0.034,"W4","S3","C4"
0.16,0.35,0.409,0.116,0.326,0.109,0.996,0.823,0.256,0.023,"W4","S3","C4"
0.154,0.358,0.394,0.11,0.322,0.107,0.992,0.843,0.287,0.019,"W4","S3","C4"
0.144,0.35,0.379,0.089,0.3,0.104,0.992,0.843,0.291,0.012,"W4","S3","C4"
0.139,0.314,0.439,0.068,0.3,0.103,1,0.768,0.185,0.009,"W4","S3","C4"
0.118,0.272,0.47,0.03,0.245,0.1,0.992,0.709,0.126,0.009,"W4","S3","C4"
0.11,0.269,0.242,0.021,0.226,0.099,0.961,0.846,0.374,0.012,"W4","S3","C4"
0.11,0.775,0.136,0,0.224,0.098,0.772,0.949,0.724,0.015,"W4","S4","C4"
0.136,0.031,0.515,0.107,0.34,0.084,0.646,0.594,0.417,0.072,"W4","S10","C3"
0.116,0.014,0.455,0.021,0.244,0.085,0.657,0.657,0.488,0.077,"W4","S10","C3"
0.216,0.364,0.455,0.048,0.266,0.152,0.992,0.819,0.236,0.126,"W4","S6","C3"
0.172,0.164,0.318,0,0.224,0.126,0.909,0.748,0.327,0.13,"W4","S5","C4"
0.168,0.139,0.394,0.021,0.221,0.122,0.87,0.693,0.291,0.126,"W4","S5","C4"
0.152,0.203,0.409,0,0.224,0.114,0.941,0.697,0.201,0.118,"W4","S5","C4"
0.145,0.272,0.288,0,0.224,0.11,0.972,0.827,0.331,0.114,"W4","S5","C4"
0.073,0.294,0.152,0,0.224,0.034,0.937,0.898,0.472,0.04,"W4","S6","C4"
0.066,0.35,0.152,0,0.224,0.025,0.937,0.917,0.492,0.032,"W4","S6","C4"
0.699,0.203,0.242,0.13,0.261,0.601,0.933,0.815,0.378,0.343,"W1","S38","C7"
0.689,0.361,0.121,0.068,0.236,0.588,0.917,0.929,0.531,0.348,"W1","S38","C7"
0.686,0.439,0.121,0.03,0.229,0.58,0.902,0.953,0.575,0.352,"W1","S38","C7"
0.569,0.414,0.409,0.298,0.372,0.117,0.957,0.894,0.374,0.37,"W1","S29","C1"
0.58,0.917,0.258,0.096,0.262,0.025,0.697,0.85,0.701,0.196,"W3","S31","C2"
0.526,0.453,0.227,0.107,0.248,0.041,0.917,0.957,0.539,0.129,"W3","S13","C5"
0.524,0.431,0.258,0.122,0.253,0.045,0.933,0.941,0.496,0.131,"W3","S13","C5"
0.52,0.439,0.303,0.116,0.28,0.051,0.933,0.941,0.48,0.136,"W3","S13","C5"
0.518,0.447,0.212,0.11,0.293,0.082,0.917,0.953,0.535,0.166,"W3","S13","C5"
0.515,0.392,0.227,0.116,0.292,0.085,0.949,0.925,0.469,0.169,"W3","S13","C5"
0.461,0.292,0.318,0.077,0.256,0.115,0.984,0.819,0.295,0.195,"W3","S13","C5"
0.45,0.247,0.242,0.043,0.239,0.123,0.957,0.835,0.374,0.202,"W3","S23","C5"
0.254,0.711,0.348,0.327,0.233,0.032,0.626,0.972,0.87,0.102,"W4","S10","C3"
0.143,0.4,0.136,0,0.224,0.127,0.917,0.941,0.539,0.109,"W4","S14","C4"
0.159,0.003,0.348,0.068,0.273,0.144,0.717,0.752,0.559,0.093,"W4","S10","C3"
0.191,0.925,0.409,0.129,0.39,0.104,0.587,0.768,0.705,0.041,"W4","S10","C3"
0.224,0.994,0.439,0.261,0.417,0.102,0.646,0.689,0.547,0.109,"W4","S10","C3"
0.223,0.997,0.47,0.258,0.413,0.106,0.622,0.654,0.524,0.117,"W4","S10","C3"
0.225,0.983,0.439,0.258,0.419,0.111,0.626,0.689,0.567,0.125,"W4","S10","C3"
0.124,0.672,0.364,0,0.224,0.199,0.654,0.988,0.85,0.113,"W4","S1","C4"
0.121,0.211,0.409,0.021,0.248,0.201,0.949,0.705,0.197,0.113,"W4","S1","C4"
0.125,0.761,0.5,0.043,0.264,0.203,0.457,0.894,0.945,0.114,"W4","S10","C3"
0.146,0.775,0.5,0.086,0.32,0.206,0.445,0.878,0.941,0.116,"W4","S10","C3"
0.226,0.794,0.424,0.28,0.514,0.206,0.52,0.89,0.898,0.131,"W4","S10","C3"
0.229,0.303,0.258,0.322,0.253,0.188,0.972,0.862,0.378,0.13,"W4","S2","C4"
0.226,0.403,0.227,0.31,0.244,0.185,0.945,0.929,0.48,0.126,"W4","S2","C4"
0.226,0.561,0.258,0.288,0.244,0.178,0.827,0.996,0.677,0.118,"W4","S2","C4"
0.228,0.658,0.258,0.279,0.249,0.175,0.736,0.996,0.787,0.114,"W4","S2","C4"
0.233,0.739,0.364,0.271,0.264,0.171,0.594,0.953,0.886,0.109,"W4","S2","C4"
0.248,0.703,0.258,0.261,0.302,0.165,0.709,0.98,0.811,0.101,"W4","S6","C4"
0.251,0.397,0.273,0.258,0.309,0.161,0.957,0.917,0.437,0.097,"W4","S6","C4"
0.232,0.336,0.53,0.258,0.261,0.155,0.996,0.74,0.118,0.089,"W4","S3","C4"
0.225,0.358,0.455,0.261,0.242,0.152,0.992,0.815,0.236,0.085,"W4","S3","C4"
0.216,0.492,0.258,0.271,0.221,0.146,0.89,0.972,0.579,0.076,"W4","S3","C4"
0.232,0.683,0.318,0.251,0.494,0.137,0.673,0.988,0.839,0.064,"W4","S3","C4"
